Время;Канал A
(с);(В)

-2,17044997;0,00799585
-2,17039997;-0,00094607
-2,17034997;-0,00094607
-2,17029997;-0,00094607
-2,17024997;-0,00094607
-2,17019997;-0,00094607
-2,17014997;-0,00094607
-2,17009997;-0,00094607
-2,17004997;-0,00094607
-2,16999997;-0,00094607
-2,16994997;-0,00094607
-2,16989997;0,00799585
-2,16984997;0,00799585
-2,16979997;-0,00094607
-2,16974997;-0,00094607
-2,16969997;-0,00094607
-2,16964997;0,00799585
-2,16959997;-0,00094607
-2,16954997;-0,00094607
-2,16949997;0,00799585
-2,16944997;-0,00094607
-2,16939997;-0,00094607
-2,16934997;-0,00094607
-2,16929997;0,00799585
-2,16924997;-0,00094607
-2,16919997;-0,00094607
-2,16914997;0,00799585
-2,16909997;-0,00094607
-2,16904997;0,00799585
-2,16899997;0,00799585
-2,16894997;0,00799585
-2,16889997;-0,00094607
-2,16884997;-0,00094607
-2,16879997;0,00799585
-2,16874997;0,00799585
-2,16869997;-0,00094607
-2,16864997;-0,00094607
-2,16859997;-0,00094607
-2,16854997;-0,00094607
-2,16849997;-0,00094607
-2,16844997;-0,00094607
-2,16839997;-0,00094607
-2,16834997;0,00799585
-2,16829997;-0,00094607
-2,16824997;0,00799585
-2,16819997;-0,00094607
-2,16814997;-0,00094607
-2,16809997;-0,00094607
-2,16804997;-0,00094607
-2,16799997;0,00799585
-2,16794997;-0,00094607
-2,16789997;-0,00094607
-2,16784997;0,00799585
-2,16779997;-0,00094607
-2,16774997;-0,00094607
-2,16769997;-0,00094607
-2,16764997;-0,00094607
-2,16759997;-0,00094607
-2,16754997;-0,00094607
-2,16749997;0,00799585
-2,16744997;0,00799585
-2,16739997;-0,00094607
-2,16734997;-0,00094607
-2,16729997;-0,00094607
-2,16724997;0,00799585
-2,16719997;0,00799585
-2,16714997;-0,00094607
-2,16709997;0,00799585
-2,16704997;0,00799585
-2,16699997;0,00799585
-2,16694997;-0,00094607
-2,16689997;-0,00094607
-2,16684997;0,00799585
-2,16679997;-0,00094607
-2,16674997;-0,00094607
-2,16669997;0,00799585
-2,16664997;0,00799585
-2,16659997;0,00799585
-2,16654997;0,00799585
-2,16649997;0,00799585
-2,16644997;-0,00094607
-2,16639997;0,00799585
-2,16634997;0,00799585
-2,16629997;0,00799585
-2,16624997;0,00799585
-2,16619997;-0,00094607
-2,16614997;-0,00094607
-2,16609997;-0,00094607
-2,16604997;0,00799585
-2,16599997;0,00799585
-2,16594997;0,00799585
-2,16589997;0,00799585
-2,16584997;-0,00094607
-2,16579997;-0,00094607
-2,16574997;0,00799585
-2,16569997;0,00799585
-2,16564997;-0,00094607
-2,16559997;-0,00094607
-2,16554997;-0,00094607
-2,16549997;-0,00094607
-2,16544997;-0,00094607
-2,16539997;-0,00094607
-2,16534997;-0,00094607
-2,16529997;0,00799585
-2,16524997;-0,00094607
-2,16519997;0,00799585
-2,16514997;-0,00094607
-2,16509997;-0,00094607
-2,16504997;0,00799585
-2,16499997;-0,00094607
-2,16494997;-0,00094607
-2,16489997;0,00799585
-2,16484997;-0,00094607
-2,16479997;-0,00094607
-2,16474997;-0,00094607
-2,16469997;-0,00094607
-2,16464997;-0,00094607
-2,16459997;-0,00094607
-2,16454997;-0,00094607
-2,16449997;-0,00094607
-2,16444997;-0,00094607
-2,16439997;-0,00094607
-2,16434997;-0,00094607
-2,16429997;-0,00094607
-2,16424997;0,00799585
-2,16419997;-0,00094607
-2,16414997;0,00799585
-2,16409997;0,00799585
-2,16404997;-0,00094607
-2,16399997;0,00799585
-2,16394997;-0,00094607
-2,16389997;0,00799585
-2,16384997;-0,00094607
-2,16379997;-0,00094607
-2,16374997;0,00799585
-2,16369997;-0,00094607
-2,16364997;0,00799585
-2,16359997;0,00799585
-2,16354997;-0,00094607
-2,16349997;-0,00094607
-2,16344997;-0,00094607
-2,16339997;-0,00094607
-2,16334997;-0,00094607
-2,16329997;-0,00094607
-2,16324997;0,00799585
-2,16319997;-0,00094607
-2,16314997;-0,00094607
-2,16309997;0,00799585
-2,16304997;-0,00094607
-2,16299997;-0,00094607
-2,16294997;-0,00094607
-2,16289997;-0,00094607
-2,16284997;-0,00094607
-2,16279997;0,00799585
-2,16274997;-0,00094607
-2,16269997;0,00799585
-2,16264997;-0,00094607
-2,16259997;-0,00094607
-2,16254997;-0,00094607
-2,16249997;0,00799585
-2,16244997;0,00799585
-2,16239997;-0,00094607
-2,16234997;0,00799585
-2,16229997;-0,00094607
-2,16224997;-0,00094607
-2,16219997;-0,00094607
-2,16214997;0,00799585
-2,16209997;0,00799585
-2,16204997;0,00799585
-2,16199997;0,00799585
-2,16194997;0,00799585
-2,16189997;-0,00094607
-2,16184997;-0,00094607
-2,16179997;0,00799585
-2,16174997;-0,00094607
-2,16169997;-0,00094607
-2,16164997;-0,00991852
-2,16159997;-0,00094607
-2,16154997;-0,00094607
-2,16149997;-0,00094607
-2,16144997;-0,00094607
-2,16139997;-0,00094607
-2,16134997;-0,00094607
-2,16129997;-0,00094607
-2,16124997;-0,00094607
-2,16119997;0,00799585
-2,16114997;-0,00094607
-2,16109997;-0,00094607
-2,16104997;0,00799585
-2,16099997;-0,00094607
-2,16094997;0,00799585
-2,16089997;0,00799585
-2,16084997;0,00799585
-2,16079997;0,00799585
-2,16074997;-0,00094607
-2,16069997;-0,00094607
-2,16064997;0,00799585
-2,16059997;0,00799585
-2,16054997;0,00799585
-2,16049997;-0,00094607
-2,16044997;-0,00094607
-2,16039997;-0,00094607
-2,16034997;-0,00094607
-2,16029997;-0,00094607
-2,16024997;-0,00094607
-2,16019997;-0,00094607
-2,16014997;0,00799585
-2,16009997;-0,00094607
-2,16004997;-0,00094607
-2,15999997;-0,00094607
-2,15994997;-0,00094607
-2,15989997;-0,00094607
-2,15984997;-0,00094607
-2,15979997;-0,00094607
-2,15974997;-0,00094607
-2,15969997;-0,00094607
-2,15964997;-0,00094607
-2,15959997;-0,00094607
-2,15954997;-0,00094607
-2,15949997;-0,00094607
-2,15944997;-0,00094607
-2,15939997;-0,00094607
-2,15934997;-0,00094607
-2,15929997;0,00799585
-2,15924997;0,00799585
-2,15919997;-0,00094607
-2,15914997;-0,00094607
-2,15909997;-0,00094607
-2,15904997;0,00799585
-2,15899997;-0,00094607
-2,15894997;-0,00094607
-2,15889997;0,00799585
-2,15884997;-0,00094607
-2,15879997;0,00799585
-2,15874997;0,00799585
-2,15869997;0,00799585
-2,15864997;-0,00094607
-2,15859997;0,00799585
-2,15854997;0,00799585
-2,15849997;0,00799585
-2,15844997;-0,00094607
-2,15839997;-0,00094607
-2,15834997;-0,00094607
-2,15829997;0,00799585
-2,15824997;-0,00094607
-2,15819997;-0,00094607
-2,15814997;-0,00094607
-2,15809997;-0,00094607
-2,15804997;0,00799585
-2,15799997;-0,00094607
-2,15794997;-0,00094607
-2,15789997;-0,00094607
-2,15784997;-0,00094607
-2,15779997;-0,00094607
-2,15774997;-0,00094607
-2,15769997;-0,00094607
-2,15764997;-0,00094607
-2,15759997;-0,00094607
-2,15754997;0,00799585
-2,15749997;-0,00094607
-2,15744997;0,00799585
-2,15739997;-0,00094607
-2,15734997;0,00799585
-2,15729997;-0,00094607
-2,15724997;-0,00094607
-2,15719997;-0,00094607
-2,15714997;0,00799585
-2,15709997;-0,00094607
-2,15704997;0,00799585
-2,15699997;-0,00094607
-2,15694997;-0,00094607
-2,15689997;0,00799585
-2,15684997;-0,00094607
-2,15679997;-0,00094607
-2,15674997;-0,00094607
-2,15669997;0,00799585
-2,15664997;-0,00094607
-2,15659997;-0,00094607
-2,15654997;-0,00094607
-2,15649997;-0,00094607
-2,15644997;-0,00094607
-2,15639997;-0,00094607
-2,15634997;-0,00094607
-2,15629997;-0,00094607
-2,15624997;-0,00094607
-2,15619997;-0,00094607
-2,15614997;-0,00094607
-2,15609997;-0,00094607
-2,15604997;-0,00094607
-2,15599997;-0,00094607
-2,15594997;0,00799585
-2,15589997;0,00799585
-2,15584997;-0,00094607
-2,15579997;-0,00094607
-2,15574997;0,00799585
-2,15569997;-0,00094607
-2,15564997;0,00799585
-2,15559997;-0,00094607
-2,15554997;-0,00094607
-2,15549997;-0,00094607
-2,15544997;-0,00094607
-2,15539997;-0,00094607
-2,15534997;-0,00094607
-2,15529997;0,00799585
-2,15524997;-0,00094607
-2,15519997;-0,00094607
